valor,classe,dormitorios,banheiros,vagas_na_garagem,tipo_do_imovel,bairro,area_terreno,area_util,condominio,torres,portaria_hrs,elevador_social,suites,apartamento_por_andar,quantidade_de_andares,elevador_de_servico,salao_de_festa,iptu,lat,long,dist_centro
380000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim dos estados,,92.0,180.0,,,1.0,,4.0,7.0,,,,-21.782685,-46.5596938,0.9218244817296424
580000.0,Casa,3.0,2.0,1.0,Padrão,santa angela,259.5,189.35,,,,,1.0,,,,,,,,
750000.0,Apartamento,4.0,1.0,2.0,Padrão,jardim dos estados,,200.0,700.0,1.0,24.0,2.0,2.0,4.0,8.0,,0.0,,-21.782685,-46.5596938,0.9218244817296424
220000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial summer ville,,59.6,70.0,,,,,,,,,,,,
220000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial summer ville,,59.11,70.0,,,,,,,,,,,,
220000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial summer ville,,59.11,70.0,,,,,,,,,,,,
220000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial summer ville,,59.11,100.0,,,,,,,,,,,,
220000.0,Apartamento,2.0,1.0,1.0,Padrão,residencial summer ville,,59.11,70.0,,,,,,,,,,,,
450000.0,Apartamento,3.0,3.0,1.0,Padrão,residencial veredas,,94.0,120.0,,,,1.0,,,,,,-21.7916163,-46.608053999999996,4.338271910498164
470000.0,Apartamento,2.0,2.0,1.0,Padrão,jardim elvira dias,,75.0,1.0,1.0,,1.0,1.0,6.0,11.0,1.0,0.0,1.0,,,
260000.0,Apartamento,2.0,1.0,1.0,Padrão,jardim cascatinha,,71.0,160.0,2.0,,,,,4.0,,,,,,
320000.0,Apartamento,2.0,3.0,1.0,Padrão,residencial greenville,,73.48,120.0,1.0,,1.0,2.0,2.0,4.0,,,62.42,,,
600000.0,Apartamento,3.0,1.0,1.0,Padrão,centro,,93.97,350.0,,,,1.0,,,,0.0,,-21.7883799,-46.5661817,0.0
170000.0,Apartamento,2.0,1.0,1.0,Lançamento,jardim country club,30000.0,52.09,200.0,9.0,,1.0,1.0,4.0,12.0,1.0,0.0,,-21.78945135,-46.58977530336176,2.438972413884435
450000.0,Casa,3.0,1.0,1.0,Padrão,centro,96.65,114.0,,,,,1.0,,,,,,-21.7883799,-46.5661817,0.0
650000.0,Casa,3.0,3.0,,Padrão,centro,330.0,150.0,,,,,,,,,,,-21.7883799,-46.5661817,0.0
430000.0,Apartamento,2.0,2.0,1.0,Padrão,centro,,86.0,300.0,1.0,,1.0,1.0,,,1.0,0.0,,-21.7883799,-46.5661817,0.0
280000.0,Casa,2.0,2.0,2.0,Padrão,parque sao sebastiao,163.0,172.25,,,,,,,,,,90.0,-21.857558100000002,-46.5663645,7.69228801894392
800000.0,Casa,3.0,2.0,2.0,Padrão,jardim europa,300.0,146.9,,,,,1.0,,,,,,-21.799013000000002,-46.5860975,2.371946732205542
450000.0,Terreno,,,,Padrão,jardim europa,820.0,,,,,,,,,,,95.0,-21.799013000000002,-46.5860975,2.371946732205542
415000.0,Terreno,,,,Padrão,jardim europa,748.0,,,,,,,,,,,90.0,-21.799013000000002,-46.5860975,2.371946732205542
380000.0,Casa,3.0,1.0,4.0,Padrão,estancia sao jose,660.0,,,,,,1.0,,,,,,-21.8002227,-46.517062599999996,5.239582340023408
228000.0,Apartamento,2.0,1.0,1.0,Padrão,loteamento campo das aroeiras,,54.0,150.0,,,1.0,,4.0,,,,,,,
185000.0,Apartamento,2.0,1.0,1.0,Padrão,jardim elvira dias,,56.0,100.0,,,2.0,,,,,,,,,
1000000.0,Casa,3.0,4.0,5.0,Padrão,jardim dos estados,727.0,290.0,,,,,2.0,,,,,164.0,-21.782685,-46.5596938,0.9218244817296424
245000.0,Apartamento,2.0,1.0,1.0,Padrão,jardim centenario,,72.0,190.0,1.0,,,,4.0,3.0,,0.0,,-21.805588500000002,-46.565064,1.9169854523102048
150000.0,Apartamento,1.0,1.0,,Padrão,centro,,36.31,200.0,2.0,24.0,2.0,,,,,,,-21.7883799,-46.5661817,0.0
130000.0,Terreno,,,,Padrão,jardim santa augusta,372.37,,,,,,,,,,,,-21.823204399999998,-46.5586103,3.9504129172971294
240000.0,Apartamento,2.0,1.0,1.0,Padrão,jardim amaryllis,,60.97,100.0,1.0,,,,2.0,3.0,,,,,,
880000.0,Casa,3.0,4.0,4.0,Casa em condomínio,jardim europa,300.0,180.0,300.0,,,,3.0,,,,0.0,,-21.799013000000002,-46.5860975,2.371946732205542
740000.0,Casa,3.0,4.0,4.0,Casa em condomínio,jardim europa,300.0,150.0,300.0,,,,3.0,,,,0.0,,-21.799013000000002,-46.5860975,2.371946732205542
320000.0,Apartamento,3.0,2.0,1.0,Padrão,jardim quisisana,300.0,85.96,70.0,1.0,,,1.0,4.0,4.0,,,70.0,-21.7976825,-46.5658718,1.0348966711130358
390000.0,Casa,2.0,1.0,4.0,Padrão,santa angela,300.0,86.15,,,,,,,,,,50.0,,,
320000.0,Apartamento,3.0,2.0,1.0,Padrão,santa angela,428.96,102.54,80.0,,,,1.0,2.0,3.0,,,,,,
130000.0,Apartamento,2.0,1.0,1.0,Padrão,dom bosco,,47.98,150.0,8.0,,,,4.0,4.0,,,27.83,-21.7939677,-46.534471,3.3325413804590576
840000.0,Casa,4.0,4.0,3.0,Padrão,sao benedito,184.97,244.31,,,,,3.0,,,,,,-21.8558599,-46.5716661,7.524761037575668
170000.0,Terreno,,,,Padrão,jardim quisisana,450.0,,,,,,,,,,,,-21.7976825,-46.5658718,1.0348966711130358
1500000.0,Casa,3.0,4.0,4.0,Padrão,jardim dos estados,960.0,570.0,,,,,1.0,,,,,337.0,-21.782685,-46.5596938,0.9218244817296424
250000.0,Casa,2.0,1.0,1.0,Padrão,sao joao,520.0,69.93,,,,,,,,,,,-21.702056,-46.481630100000004,12.976763307040114
3000000.0,Casa,5.0,4.0,6.0,Padrão,bortolan,2500.0,775.0,,,,,2.0,,,,,,-21.800174050000006,-46.63251884294958,6.973539619752122
450000.0,Casa,3.0,3.0,2.0,Padrão,vila togni,411.0,160.0,,,,,1.0,,,,,,-21.78029895,-46.59762295,3.3684997191903414
220000.0,Apartamento,2.0,1.0,1.0,Padrão,santa angela,,72.0,60.0,,,,1.0,,,,,,,,
420000.0,Apartamento,3.0,2.0,1.0,Padrão,jardim cascatinha,,93.0,250.0,2.0,,,1.0,,,,,,,,
445000.0,Apartamento,3.0,2.0,2.0,Padrão,jardim dos estados,,,180.0,,,,1.0,,,,,,-21.782685,-46.5596938,0.9218244817296424
1300000.0,Apartamento,3.0,1.0,2.0,Padrão,centro,,240.0,1100.0,1.0,,,2.0,1.0,11.0,,,,-21.7883799,-46.5661817,0.0
1290000.0,Casa,4.0,2.0,3.0,Padrão,jardim del rey,629.0,393.0,,,,,1.0,,,,,,-21.7989178,-46.55798,1.445718674457571
340000.0,Casa,3.0,2.0,1.0,Padrão,jardim campos elisios,250.0,100.0,,,,,1.0,,,,,60.0,,,
750000.0,Casa,3.0,2.0,3.0,Padrão,vila togni,268.0,270.0,,,,,1.0,,,,,,-21.78029895,-46.59762295,3.3684997191903414
190000.0,Casa,3.0,1.0,1.0,Padrão,jardim esperanca,163.0,92.0,,,,,,,,,,,-21.8319076,-46.5586075,4.902813988592474
350000.0,Apartamento,3.0,1.0,1.0,Padrão,santa angela,,76.12,120.0,1.0,,,1.0,2.0,3.0,,,,,,
700000.0,Apartamento,3.0,1.0,2.0,Padrão,jardim elvira dias,,120.0,220.0,,,,3.0,,,,,,,,
430000.0,Apartamento,3.0,1.0,1.0,Padrão,jardim vitoria,,117.92,150.0,,,,1.0,,,,,,,,
3000000.0,Terreno,,,,Padrão,dom bosco,4054.6,,,,,,,,,,,,-21.7939677,-46.534471,3.3325413804590576
