endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
 Residencial São Gabriel,645000.0,380,4,6,2
 Village Moutonnee,380000.0,178,3,2,2
 Jardim Panorama,730000.0,130,3,1,2
 SP,165000.0,183,3,2,4
 Loteamento Terras de Sao Pedro e Sao Paulo,180000.0,360,4,5,2
 Jardim Elizabeth,480000.0,219,3,2,2
 Jardim Panorama,645000.0,180,3,2,2
 Residencial Porto Seguro,950000.0,300,4,3,4
 Jardim Elizabeth,320000.0,308,3,4,2
 Urb Salto de São José,1350000.0,164,3,3,4
 Residencial Lagos D Icaraí ,1150000.0,100,2,2,2
 Village Moutonnee,270000.0,199,3,3,2
 Jardim D'icarai,1499999.0,124,3,3,4
 Residencial Lagos D Icaraí ,300000.0,290,3,4,2
 CONDOMINIO ZULEIKA JABOUR,320000.0,110,3,2,2
 SP,650000.0,317,5,4,4
 Jardim das Nações,415000.0,163,3,3,2
 SP,1590000.0,132,2,3,2
 Village Moutonnee,750000.0,105,3,2,4
 Jardim Santa Marta,1060000.0,35,1,1,2
 Loteamento Jardim das Constelacoes,760000.0,50,2,1,2
 SP,475000.0,198,3,3,2
 Residencial São Bento,700000.0,113,3,3,2
 Buru,1562000.0,124,3,2,2
 SP,913000.0,206,3,3,2
 Jardim Nair Maria,550000.0,180,2,2,18
 SP,435000.0,100,2,1,2
 CONDOMINIO ZULEIKA JABOUR,950000.0,363,4,4,4
 SP,6000.0,395,3,4,3
 Residencial Primavera,1100000.0,100,2,1,1
 Jardim Saltense,210000.0,80,2,1,2
 Residencial São Gabriel,1650000.0,320,4,6,4
 Village Moutonnee,645000.0,125,3,2,2
 Jardim Panorama,380000.0,85,2,2,2
 SP,730000.0,105,3,2,2
 Loteamento Terras de Sao Pedro e Sao Paulo,165000.0,132,2,2,2
 Jardim Elizabeth,180000.0,380,4,6,2
 Jardim Panorama,480000.0,178,3,2,2
 Residencial Porto Seguro,645000.0,130,3,1,2
 Jardim Elizabeth,950000.0,183,3,2,4
 Urb Salto de São José,320000.0,360,4,5,2
 Residencial Lagos D Icaraí ,1350000.0,219,3,2,2
 Village Moutonnee,1150000.0,180,3,2,2
 Jardim D'icarai,270000.0,300,4,3,4
 Residencial Lagos D Icaraí ,1499999.0,308,3,4,2
 CONDOMINIO ZULEIKA JABOUR,300000.0,164,3,3,4
 SP,320000.0,100,2,2,2
 Jardim das Nações,650000.0,199,3,3,2
 SP,415000.0,124,3,3,4
 Village Moutonnee,1590000.0,290,3,4,2
 Jardim Santa Marta,750000.0,110,3,2,2
 Loteamento Jardim das Constelacoes,1060000.0,317,5,4,4
 SP,760000.0,163,3,3,2
 Residencial São Bento,475000.0,132,2,3,2
 Buru,700000.0,105,3,2,4
 SP,1562000.0,35,1,1,2
 Jardim Nair Maria,913000.0,50,2,1,2
 SP,550000.0,198,3,3,2
 CONDOMINIO ZULEIKA JABOUR,435000.0,113,3,3,2
 SP,950000.0,124,3,2,2
 Residencial Primavera,6000.0,206,3,3,2
 Jardim Saltense,1100000.0,180,2,2,18
 Residencial São Gabriel,210000.0,100,2,1,2
 Village Moutonnee,1650000.0,363,4,4,4
 Jardim Panorama,645000.0,395,3,4,3
 SP,380000.0,100,2,1,1
 Loteamento Terras de Sao Pedro e Sao Paulo,730000.0,80,2,1,2
 Jardim Elizabeth,165000.0,320,4,6,4
 Jardim Panorama,180000.0,125,3,2,2
